vext	I(Vext)
0.000000000000000e+000	3.232147e-001
1.000000000000000e-002	3.230793e-001
2.000000000000000e-002	3.229439e-001
3.000000000000000e-002	3.228085e-001
4.000000000000000e-002	3.226733e-001
5.000000000000000e-002	3.225380e-001
6.000000000000001e-002	3.224029e-001
7.000000000000001e-002	3.222678e-001
8.000000000000000e-002	3.221328e-001
9.000000000000000e-002	3.219978e-001
9.999999999999999e-002	3.218629e-001
1.100000000000000e-001	3.217281e-001
1.200000000000000e-001	3.215933e-001
1.300000000000000e-001	3.214586e-001
1.400000000000000e-001	3.213240e-001
1.500000000000000e-001	3.211894e-001
1.600000000000000e-001	3.210548e-001
1.700000000000000e-001	3.209204e-001
1.800000000000000e-001	3.207860e-001
1.900000000000000e-001	3.206516e-001
2.000000000000000e-001	3.205173e-001
2.100000000000001e-001	3.203831e-001
2.200000000000001e-001	3.202490e-001
2.300000000000001e-001	3.201149e-001
2.400000000000001e-001	3.199808e-001
2.500000000000001e-001	3.198468e-001
2.600000000000001e-001	3.197129e-001
2.700000000000001e-001	3.195791e-001
2.800000000000001e-001	3.194453e-001
2.900000000000001e-001	3.193115e-001
3.000000000000001e-001	3.191779e-001
3.100000000000001e-001	3.190442e-001
3.200000000000001e-001	3.189107e-001
3.300000000000001e-001	3.187772e-001
3.400000000000001e-001	3.186437e-001
3.500000000000001e-001	3.185104e-001
3.600000000000002e-001	3.183770e-001
3.700000000000002e-001	3.182437e-001
3.800000000000002e-001	3.181106e-001
3.900000000000002e-001	3.179774e-001
4.000000000000002e-001	3.178443e-001
4.100000000000002e-001	3.177113e-001
4.200000000000002e-001	3.175783e-001
4.300000000000002e-001	3.174454e-001
4.400000000000002e-001	3.173125e-001
4.500000000000002e-001	3.171797e-001
4.600000000000002e-001	3.170470e-001
4.700000000000003e-001	3.169143e-001
4.800000000000003e-001	3.167816e-001
4.900000000000003e-001	3.166490e-001
5.000000000000002e-001	3.165165e-001
5.100000000000002e-001	3.163841e-001
5.200000000000002e-001	3.162517e-001
5.300000000000003e-001	3.161193e-001
5.400000000000003e-001	3.159870e-001
5.500000000000003e-001	3.158548e-001
5.600000000000003e-001	3.157226e-001
5.700000000000003e-001	3.155905e-001
5.800000000000003e-001	3.154584e-001
5.900000000000003e-001	3.153264e-001
6.000000000000003e-001	3.151944e-001
6.100000000000003e-001	3.150625e-001
6.200000000000003e-001	3.149306e-001
6.300000000000003e-001	3.147989e-001
6.400000000000004e-001	3.146671e-001
6.500000000000004e-001	3.145354e-001
6.600000000000004e-001	3.144038e-001
6.700000000000004e-001	3.142722e-001
6.800000000000004e-001	3.141407e-001
6.900000000000004e-001	3.140092e-001
7.000000000000004e-001	3.138778e-001
7.100000000000004e-001	3.137465e-001
7.200000000000004e-001	3.136151e-001
7.300000000000004e-001	3.134839e-001
7.400000000000004e-001	3.133527e-001
7.500000000000004e-001	3.132215e-001
7.600000000000005e-001	3.130904e-001
7.700000000000005e-001	3.129594e-001
7.800000000000005e-001	3.128284e-001
7.900000000000005e-001	3.126974e-001
8.000000000000005e-001	3.125665e-001
8.100000000000005e-001	3.124357e-001
8.200000000000005e-001	3.123049e-001
8.300000000000005e-001	3.121742e-001
8.400000000000005e-001	3.120435e-001
8.500000000000005e-001	3.119128e-001
8.600000000000005e-001	3.117822e-001
8.700000000000006e-001	3.116517e-001
8.800000000000006e-001	3.115212e-001
8.900000000000006e-001	3.113907e-001
9.000000000000006e-001	3.112603e-001
9.100000000000006e-001	3.111299e-001
9.200000000000006e-001	3.109996e-001
9.300000000000006e-001	3.108693e-001
9.400000000000006e-001	3.107390e-001
9.500000000000006e-001	3.106088e-001
9.600000000000006e-001	3.104785e-001
9.700000000000006e-001	3.103483e-001
9.800000000000007e-001	3.102181e-001
9.900000000000007e-001	3.100879e-001
1.000000000000001e+000	3.099577e-001
1.010000000000001e+000	3.098275e-001
1.020000000000001e+000	3.096972e-001
1.030000000000001e+000	3.095669e-001
1.040000000000001e+000	3.094364e-001
1.050000000000001e+000	3.093059e-001
1.060000000000001e+000	3.091753e-001
1.070000000000001e+000	3.090444e-001
1.080000000000001e+000	3.089133e-001
1.090000000000001e+000	3.087819e-001
1.100000000000001e+000	3.086500e-001
1.110000000000001e+000	3.085178e-001
1.120000000000001e+000	3.083850e-001
1.130000000000001e+000	3.082514e-001
1.140000000000001e+000	3.081170e-001
1.150000000000001e+000	3.079815e-001
1.160000000000001e+000	3.078447e-001
1.170000000000001e+000	3.077063e-001
1.180000000000001e+000	3.075659e-001
1.190000000000001e+000	3.074231e-001
1.200000000000001e+000	3.072775e-001
1.210000000000001e+000	3.071283e-001
1.220000000000001e+000	3.069747e-001
1.230000000000001e+000	3.068159e-001
1.240000000000001e+000	3.066506e-001
1.250000000000001e+000	3.064776e-001
1.260000000000001e+000	3.062949e-001
1.270000000000001e+000	3.061006e-001
1.280000000000001e+000	3.058920e-001
1.290000000000001e+000	3.056660e-001
1.300000000000001e+000	3.054186e-001
1.310000000000001e+000	3.051448e-001
1.320000000000001e+000	3.048388e-001
1.330000000000001e+000	3.044928e-001
1.340000000000001e+000	3.040975e-001
1.350000000000001e+000	3.036409e-001
1.360000000000001e+000	3.031079e-001
1.370000000000001e+000	3.024790e-001
1.380000000000001e+000	3.017294e-001
1.390000000000001e+000	3.008271e-001
1.400000000000001e+000	2.997299e-001
1.410000000000001e+000	2.983829e-001
1.420000000000001e+000	2.967132e-001
1.430000000000001e+000	2.946239e-001
1.440000000000001e+000	2.919856e-001
1.450000000000001e+000	2.886255e-001
1.460000000000001e+000	2.843122e-001
1.470000000000001e+000	2.787374e-001
1.480000000000001e+000	2.714944e-001
1.490000000000001e+000	2.620548e-001
1.500000000000001e+000	2.497474e-001
1.510000000000001e+000	2.337484e-001
1.520000000000001e+000	2.130917e-001
1.530000000000001e+000	1.867117e-001
1.540000000000001e+000	1.535223e-001
1.550000000000001e+000	1.125244e-001
1.560000000000001e+000	6.291601e-002
1.570000000000001e+000	4.173927e-003
1.580000000000001e+000	-6.391612e-002
1.590000000000001e+000	-1.412830e-001
1.600000000000001e+000	-2.276307e-001
1.610000000000001e+000	-3.225117e-001
1.620000000000001e+000	-4.253955e-001
1.630000000000001e+000	-5.357213e-001
1.640000000000001e+000	-6.529342e-001
1.650000000000001e+000	-7.765066e-001
1.660000000000001e+000	-9.059494e-001
1.670000000000001e+000	-1.040816e+000
1.680000000000001e+000	-1.180701e+000
1.690000000000001e+000	-1.325239e+000
1.700000000000001e+000	-1.474104e+000
1.710000000000001e+000	-1.626997e+000
1.720000000000001e+000	-1.783653e+000
1.730000000000001e+000	-1.943831e+000
1.740000000000001e+000	-2.107311e+000
1.750000000000001e+000	-2.273894e+000
1.760000000000001e+000	-2.443398e+000
1.770000000000001e+000	-2.615659e+000
1.780000000000001e+000	-2.790523e+000
1.790000000000001e+000	-2.967849e+000
1.800000000000000e+000	-3.147510e+000
